AAM,exp_activation_energy
[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[C:9]([C:11]([N+:12]([O-:14])=[O:13])=[CH:15]1)[Cl:10].[NH2:16][CH2:17][C:18]1=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]1>>[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[C:9]([C:11]([N+:12]([O-:14])=[O:13])=[CH:15]1)[NH:16][CH2:17][C:18]2=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]2.[ClH:10],16.47
[F:4][C:5]([F:7])([C:8]1=[CH:9][CH:10]=[C:11]([CH:12]=[CH:13]1)[Cl:3])[F:6].[CH3:1][O-:2]>>[CH3:1][O:2][C:11]1=[CH:10][CH:9]=[C:8]([CH:13]=[CH:12]1)[C:5]([F:6])([F:7])[F:4].[Cl-:3],35.24
[CH3:21][O:22][C:7]1=[CH:6][CH:5]=[C:4]([C:20]2=[N:19][O:18][N:17]=[C:16]12)[N+:2]([O-:3])=[O:1].[NH2:8][C:9]1=[CH:10][CH:11]=[C:12]([CH:14]=[CH:15]1)[OH:13]>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:16]2=[N:17][O:18][N:19]=[C:20]12)[NH:8][C:9]3=[CH:10][CH:11]=[C:12]([CH:14]=[CH:15]3)[OH:13])[O-:3].[CH3:21][OH:22],20.7
[F:3][C:4]1=[CH:5][N:6]=[C:7]([C:9]([F:10])=[C:11]1[F:1])[F:8].[NH3:2]>>[NH2:2][C:11]1=[C:4]([CH:5]=[N:6][C:7]([F:8])=[C:9]1[F:10])[F:3].[FH:1],23.6
[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9][CH:10]=[C:11]1[F:12].[CH3:13][CH2:14][CH2:15][CH2:16][NH2:17]>>[CH3:13][CH2:14][CH2:15][CH2:16][NH:17][C:11]1=[CH:10][CH:9]=[C:5]([CH:4]=[C:3]1[C:2]#[N:1])[N+:6]([O-:8])=[O:7].[FH:12],18.79
[CH3:13][N:14]([C:21]1=[N:22][C:23]([Cl:24])=[N:25][C:26]([Cl:27])=[N:28]1)[C:15]2=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]2.[O:1]=[S:2]([CH2:4][CH2:5][O-:6])([C:7]1=[CH:8][CH:9]=[CH:10][CH:11]=[CH:12]1)=[O:3]>>[CH3:13][N:14]([C:21]1=[N:22][C:23]([Cl:24])=[N:25][C:26]([O:6][CH2:5][CH2:4][S:2](=[O:1])([C:7]2=[CH:8][CH:9]=[CH:10][CH:11]=[CH:12]2)=[O:3])=[N:28]1)[C:15]3=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]3.[Cl-:27],25.13
[O:16]=[N+:17]([C:19]1=[CH:20][CH:21]=[C:22]([CH:24]=[CH:25]1)[O:23][C:7]2=[CH:6][CH:5]=[C:4]([CH:15]=[CH:14]2)[N+:2]([O-:3])=[O:1])[O-:18].[CH2:11]1[CH2:10][CH2:9][NH:8][CH2:13][CH2:12]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:14]=[CH:15]1)[N:8]2[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13]2)[O-:3].[O:16]=[N+:17]([C:19]1=[CH:20][CH:21]=[C:22]([CH:24]=[CH:25]1)[OH:23])[O-:18],24.43
[O:16]=[N+:15]([C:14]1=[CH:13][CH:12]=[C:11]([C:19]([N+:20]([O-:22])=[O:21])=[CH:18]1)[Cl:1])[O-:17].[CH3:2][O:3][C:4]1=[CH:5][CH:6]=[CH:7][C:8]([S-:9])=[CH:10]1>>[CH3:2][O:3][C:4]1=[CH:5][CH:6]=[CH:7][C:8]([S:9][C:11]2=[CH:12][CH:13]=[C:14]([CH:18]=[C:19]2[N+:20]([O-:22])=[O:21])[N+:15]([O-:17])=[O:16])=[CH:10]1.[Cl-:1],19.75
[F:16][C:6]1=[N:7][C:8]([F:9])=[C:10]([C:12]([F:13])=[C:14]1[Cl:15])[Cl:11].[CH3:1][CH2:2][NH:3][CH2:4][CH3:5]>>[CH3:1][CH2:2][N:3]([C:6]1=[N:7][C:8]([F:9])=[C:10]([C:12]([F:13])=[C:14]1[Cl:15])[Cl:11])[CH2:4][CH3:5].[FH:16],21.43
[CH3:1][O:2][C:3]1=[C:10]([C:11]([NH2:12])=[O:13])[CH:9]=[C:5]([N+:6]([O-:8])=[O:7])[S:4]1.[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1>>[NH2:12][C:11]([C:10]1=[C:3]([N:17]2[CH2:16][CH2:15][CH2:14][CH2:19][CH2:18]2)[S:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9]1)=[O:13].[CH3:1][OH:2],18.77
[CH3:1][O:2][C:3]1=[C:10]([C:11]([NH2:12])=[O:13])[CH:9]=[C:5]([N+:6]([O-:8])=[O:7])[S:4]1.[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1>>[NH2:12][C:11]([C:10]1=[C:3]([N:17]2[CH2:16][CH2:15][CH2:14][CH2:19][CH2:18]2)[S:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9]1)=[O:13].[CH3:1][OH:2],17.7
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([CH:18]=[C:19]2[Cl:20])[N+:15]([O-:17])=[O:16])=[N:21]1.[O-:22][C:23]1=[CH:24][CH:25]=[CH:26][CH:27]=[CH:28]1>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:22][C:23]2=[CH:24][CH:25]=[CH:26][CH:27]=[CH:28]2)=[N:21]1.[O:16]=[N+:15]([C:14]1=[CH:13][CH:12]=[C:11]([C:19]([Cl:20])=[CH:18]1)[O-:10])[O-:17],17.38
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][C:15]([N+:16]([O-:18])=[O:17])=[CH:19]2)=[N:20]1.[O-:21][C:22]1=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]1>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:21][C:22]2=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]2)=[N:20]1.[O:17]=[N+:16]([C:15]1=[CH:14][CH:13]=[CH:12][C:11]([O-:10])=[CH:19]1)[O-:18],20.41
[CH3:1][O:2][C:3]1=[C:10]([N+:11]([O-:13])=[O:12])[CH:9]=[C:5]([N+:6]([O-:8])=[O:7])[S:4]1.[CH2:17]1[CH2:16][CH2:15][NH:14][CH2:18]1>>[O:7]=[N+:6]([C:5]1=[CH:9][C:10]([N+:11]([O-:13])=[O:12])=[C:3]([S:4]1)[N:14]2[CH2:15][CH2:16][CH2:17][CH2:18]2)[O-:8].[CH3:1][OH:2],23.82
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([N+:13]([O-:15])=[O:14])=[CH:16]1)[Cl:11])[O-:3].[NH2:17][CH2:18][C:19]1=[CH:20][CH:21]=[C:22]([CH:24]=[CH:25]1)[Cl:23]>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([N+:13]([O-:15])=[O:14])=[CH:16]1)[NH:17][CH2:18][C:19]2=[CH:20][CH:21]=[C:22]([CH:24]=[CH:25]2)[Cl:23])[O-:3].[ClH:11],17.12
[F:1][C:2]1=[CH:3][C:4]([F:5])=[C:6]([C:8]([F:9])=[N:10]1)[F:7].[NH3:11]>>[NH2:11][C:2]1=[CH:3][C:4]([F:5])=[C:6]([C:8]([F:9])=[N:10]1)[F:7].[FH:1],18.14
[F:2][C:3]1=[N:4][C:5]([F:6])=[C:7]([N:9]=[C:10]1[F:1])[F:8].[NH3:11]>>[NH2:11][C:10]1=[N:9][C:7]([F:8])=[C:5]([N:4]=[C:3]1[F:2])[F:6].[FH:1],23.27
[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([C:13]([N+:14]([O-:16])=[O:15])=[CH:17]1)[Br:18].[CH2:10]1[CH2:9][CH2:8][NH:7][CH2:12][CH2:11]1>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([C:13]([N+:14]([O-:16])=[O:15])=[CH:17]1)[N:7]2[CH2:8][CH2:9][CH2:10][CH2:11][CH2:12]2.[BrH:18],23.26
